,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Exposure,BsmtFin SF 1,Total Bsmt SF,Heating QC,1st Flr SF,Gr Liv Area,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Area,Land Contour_HLS,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,Roof Style_Hip,Exterior 1st_BrkFace,Sale Type_New,bath_agg,Id,SalePrice
0,13517,6,1976,2005,289.0,2,2,1,533.0,725.0,4,725,1479,3,7,0,0,475.0,0,0,0,0,0,0,0,3.0,109,130500.0
1,11492,7,1996,1997,132.0,2,3,1,637.0,913.0,4,913,2122,3,7,1,2,559.0,0,0,0,0,0,0,0,4.0,544,220000.0
2,7922,5,1953,2007,0.0,1,2,1,731.0,1057.0,2,1057,1057,3,7,0,0,246.0,0,0,0,0,0,0,0,2.0,153,109000.0
3,9802,5,2006,2007,0.0,1,3,1,0.0,384.0,3,744,1444,2,7,0,0,400.0,0,0,0,0,0,0,0,3.0,318,174000.0
4,14235,6,1900,1993,0.0,1,1,1,0.0,676.0,2,831,1445,2,7,0,0,484.0,0,0,0,0,0,0,0,2.0,255,138500.0
5,16492,6,1966,2002,0.0,2,2,1,247.0,1517.0,4,1888,1888,3,4,1,3,578.0,0,0,0,0,0,1,0,3.0,138,190000.0
6,3675,6,2005,2006,82.0,1,3,3,547.0,547.0,3,1072,1072,2,7,0,0,525.0,0,0,0,0,0,0,1,3.0,2827,140000.0
7,12160,5,1959,1959,180.0,1,2,1,1000.0,1188.0,1,1188,1188,2,7,0,0,531.0,0,0,0,0,1,0,0,2.0,145,142000.0
8,15783,5,1952,1952,0.0,1,2,1,292.0,924.0,2,924,924,2,7,0,0,420.0,0,0,0,0,0,0,0,1.0,1942,112500.0
9,11606,5,1969,1969,192.0,1,3,2,650.0,1040.0,2,1040,2080,1,7,2,2,504.0,1,0,0,0,0,0,0,4.0,1956,135000.0
10,1680,6,1971,1971,232.0,1,2,1,387.0,483.0,2,483,987,2,7,0,0,264.0,0,0,0,0,0,0,0,2.0,1044,85400.0
11,7488,7,2005,2005,0.0,2,3,2,393.0,1208.0,4,1208,1208,3,7,0,0,632.0,0,0,0,0,0,0,0,2.0,2752,183600.0
12,26400,5,1880,2007,0.0,2,0,1,0.0,0.0,4,1288,2016,2,4,1,2,576.0,0,0,0,0,0,0,0,1.0,807,131000.0
13,2645,8,1999,2000,456.0,2,3,1,813.0,960.0,4,962,1607,3,7,0,0,480.0,0,0,0,0,0,0,0,4.0,1177,200000.0
14,9627,7,2007,2007,0.0,2,3,2,24.0,1351.0,4,1361,1361,3,7,0,0,610.0,0,0,0,0,0,0,0,2.0,1480,193000.0
15,10114,5,2004,2005,0.0,1,4,2,0.0,1430.0,4,1430,1430,3,7,0,0,624.0,0,0,0,0,0,0,0,2.0,324,173500.0
